epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,528.412,1.06566,1.16556,1.29059,0.67591,0.65381,0.66997,0.52007,1.28007,1.44646,1.42127,0.0005941,0.0005941,0.0005941
43,540.928,1.06901,1.18299,1.2902,0.7114,0.6341,0.67118,0.51576,1.31638,1.47099,1.46984,0.0005842,0.0005842,0.0005842
44,553.58,1.07005,1.17175,1.28121,0.68289,0.65139,0.66508,0.51012,1.30144,1.46307,1.45129,0.0005743,0.0005743,0.0005743
45,566.194,1.05398,1.16338,1.2737,0.71765,0.63894,0.67992,0.52893,1.26404,1.43571,1.42208,0.0005644,0.0005644,0.0005644
46,578.774,1.04773,1.13377,1.27329,0.67774,0.66524,0.6731,0.52418,1.26696,1.42274,1.42356,0.0005545,0.0005545,0.0005545
47,591.289,1.02802,1.12725,1.2579,0.71646,0.64797,0.68294,0.52876,1.27789,1.43572,1.43341,0.0005446,0.0005446,0.0005446
48,603.821,1.02675,1.11855,1.25363,0.69764,0.64951,0.67221,0.52784,1.24825,1.43422,1.40117,0.0005347,0.0005347,0.0005347
49,616.448,1.03095,1.09599,1.25636,0.66849,0.67469,0.67751,0.53248,1.25126,1.36636,1.40919,0.0005248,0.0005248,0.0005248
50,629.147,1.02753,1.09681,1.25168,0.70202,0.65535,0.68368,0.53575,1.28415,1.39974,1.42421,0.0005149,0.0005149,0.0005149
51,641.825,1.01786,1.07777,1.24874,0.69779,0.67839,0.68129,0.53543,1.26949,1.39234,1.42558,0.000505,0.000505,0.000505
52,654.386,1.02405,1.08745,1.25629,0.6857,0.68194,0.68191,0.52879,1.25991,1.38305,1.41513,0.0004951,0.0004951,0.0004951
53,666.869,1.02148,1.08163,1.24545,0.69551,0.65956,0.6765,0.52817,1.27056,1.40094,1.41801,0.0004852,0.0004852,0.0004852
54,679.445,1.01986,1.06508,1.24673,0.67843,0.68159,0.68611,0.54137,1.24461,1.35481,1.39982,0.0004753,0.0004753,0.0004753
55,691.997,1.00804,1.0479,1.23673,0.69276,0.66659,0.67532,0.52744,1.27292,1.39232,1.42322,0.0004654,0.0004654,0.0004654
56,704.59,1.01068,1.04978,1.24317,0.67685,0.67462,0.67736,0.52795,1.28128,1.42064,1.44248,0.0004555,0.0004555,0.0004555
57,717.077,0.98581,1.01546,1.22115,0.74078,0.6643,0.69577,0.54285,1.24574,1.352,1.39717,0.0004456,0.0004456,0.0004456
58,729.568,1.00153,1.03496,1.22875,0.69943,0.65577,0.67434,0.53178,1.28242,1.43305,1.43702,0.0004357,0.0004357,0.0004357
59,742.157,0.98675,1.01205,1.22211,0.66818,0.69312,0.68709,0.54476,1.26234,1.34051,1.41898,0.0004258,0.0004258,0.0004258
60,754.607,0.98019,1.00657,1.21997,0.71954,0.67876,0.68913,0.54404,1.26648,1.36085,1.4258,0.0004159,0.0004159,0.0004159
61,767.07,0.97289,0.97172,1.20874,0.70917,0.66602,0.68605,0.54437,1.23935,1.37117,1.38441,0.000406,0.000406,0.000406
62,779.533,0.97242,0.98289,1.21288,0.70089,0.6803,0.68635,0.54517,1.24911,1.3537,1.39741,0.0003961,0.0003961,0.0003961
63,792.016,0.96518,0.98827,1.20294,0.69624,0.68392,0.69571,0.55405,1.24925,1.33737,1.4152,0.0003862,0.0003862,0.0003862
64,804.667,0.95368,0.95569,1.19721,0.7071,0.68624,0.69594,0.55138,1.26071,1.30741,1.41485,0.0003763,0.0003763,0.0003763
65,817.204,0.9561,0.95139,1.19627,0.6929,0.69167,0.7013,0.55004,1.25985,1.32543,1.42024,0.0003664,0.0003664,0.0003664
66,829.634,0.95393,0.95256,1.19827,0.70385,0.69183,0.6975,0.54579,1.25587,1.31988,1.41045,0.0003565,0.0003565,0.0003565
67,842.18,0.94525,0.93883,1.19073,0.72479,0.66119,0.68976,0.54585,1.24924,1.33653,1.40446,0.0003466,0.0003466,0.0003466
68,854.793,0.93437,0.91122,1.18272,0.70503,0.6785,0.68841,0.54844,1.26094,1.35749,1.4307,0.0003367,0.0003367,0.0003367
69,867.364,0.94877,0.9206,1.18942,0.71276,0.64088,0.67339,0.53446,1.27382,1.40331,1.42416,0.0003268,0.0003268,0.0003268
70,879.835,0.94094,0.9181,1.18398,0.73894,0.66238,0.68991,0.54769,1.24859,1.35434,1.40574,0.0003169,0.0003169,0.0003169
71,892.298,0.93058,0.9108,1.17829,0.71763,0.67966,0.6977,0.55686,1.24246,1.34779,1.39785,0.000307,0.000307,0.000307
72,904.749,0.92617,0.898,1.17647,0.75736,0.65935,0.69905,0.55281,1.25694,1.34157,1.40882,0.0002971,0.0002971,0.0002971
73,917.279,0.91789,0.87472,1.1648,0.73125,0.67663,0.70313,0.55711,1.2492,1.31441,1.40097,0.0002872,0.0002872,0.0002872
74,929.919,0.91187,0.86231,1.16026,0.73926,0.67328,0.70061,0.55392,1.2597,1.31541,1.42319,0.0002773,0.0002773,0.0002773
75,942.417,0.91009,0.86617,1.16406,0.73219,0.6742,0.69803,0.55025,1.27608,1.33099,1.43483,0.0002674,0.0002674,0.0002674
76,954.788,0.90968,0.86316,1.16001,0.73094,0.67142,0.69312,0.55454,1.25766,1.34383,1.41985,0.0002575,0.0002575,0.0002575
77,967.278,0.90908,0.85096,1.15666,0.72217,0.69179,0.70155,0.55546,1.25811,1.34154,1.40926,0.0002476,0.0002476,0.0002476
78,979.775,0.89676,0.85193,1.15428,0.72746,0.69093,0.71085,0.55782,1.26204,1.30476,1.4282,0.0002377,0.0002377,0.0002377
79,992.231,0.88746,0.82326,1.14863,0.72433,0.69356,0.70777,0.5574,1.25206,1.3165,1.4122,0.0002278,0.0002278,0.0002278
80,1004.76,0.88843,0.82074,1.14667,0.75055,0.67274,0.70419,0.56207,1.24881,1.32289,1.40716,0.0002179,0.0002179,0.0002179
81,1017.14,0.87821,0.79743,1.1396,0.70564,0.7076,0.70455,0.5591,1.2563,1.32021,1.42241,0.000208,0.000208,0.000208
82,1029.6,0.89325,0.82388,1.14739,0.75344,0.68181,0.7116,0.56353,1.25482,1.30805,1.42093,0.0001981,0.0001981,0.0001981
83,1042.08,0.88095,0.81698,1.14411,0.753,0.68904,0.71074,0.56002,1.24688,1.30263,1.40346,0.0001882,0.0001882,0.0001882
84,1054.52,0.87456,0.80318,1.13784,0.71822,0.71534,0.71297,0.5664,1.23157,1.31036,1.40424,0.0001783,0.0001783,0.0001783
85,1066.93,0.87308,0.79726,1.14187,0.7317,0.69961,0.70513,0.56155,1.25319,1.32192,1.41468,0.0001684,0.0001684,0.0001684
86,1079.29,0.8771,0.79738,1.13747,0.74166,0.6991,0.70803,0.56601,1.25624,1.29696,1.422,0.0001585,0.0001585,0.0001585
87,1091.65,0.85583,0.78762,1.129,0.73073,0.70028,0.71059,0.56572,1.2464,1.30811,1.41462,0.0001486,0.0001486,0.0001486
88,1104.24,0.86326,0.77968,1.12614,0.73404,0.6976,0.71104,0.56136,1.25098,1.30939,1.4145,0.0001387,0.0001387,0.0001387
89,1116.62,0.84641,0.76244,1.11521,0.73827,0.6923,0.71224,0.56049,1.25223,1.28758,1.42456,0.0001288,0.0001288,0.0001288
90,1129.03,0.8441,0.75732,1.11937,0.75302,0.68532,0.71118,0.56227,1.25876,1.30433,1.42009,0.0001189,0.0001189,0.0001189
91,1142.21,0.82858,0.69957,1.09976,0.73488,0.69291,0.70249,0.55134,1.25763,1.31765,1.44106,0.000109,0.000109,0.000109
92,1154.51,0.78761,0.62619,1.06298,0.7532,0.67593,0.70419,0.55561,1.2523,1.30999,1.43585,9.91e-05,9.91e-05,9.91e-05
93,1166.88,0.78517,0.61105,1.06952,0.72849,0.69661,0.70359,0.55645,1.27686,1.32108,1.46432,8.92e-05,8.92e-05,8.92e-05
94,1179.14,0.77644,0.59917,1.05807,0.73817,0.70182,0.70538,0.55778,1.26145,1.29945,1.43975,7.93e-05,7.93e-05,7.93e-05
95,1191.44,0.76876,0.59233,1.05574,0.74076,0.70674,0.71057,0.55735,1.26024,1.29577,1.44049,6.94e-05,6.94e-05,6.94e-05
96,1203.75,0.76226,0.58794,1.04928,0.74192,0.69387,0.70919,0.56102,1.26023,1.297,1.4424,5.95e-05,5.95e-05,5.95e-05
97,1216.1,0.75656,0.56994,1.04539,0.72289,0.71328,0.71027,0.56167,1.26991,1.30655,1.45637,4.96e-05,4.96e-05,4.96e-05
98,1228.39,0.7577,0.56331,1.04705,0.73053,0.71342,0.70899,0.56194,1.26632,1.30174,1.44871,3.97e-05,3.97e-05,3.97e-05
99,1240.63,0.75322,0.56706,1.04086,0.74754,0.70068,0.71364,0.56272,1.26287,1.29942,1.44639,2.98e-05,2.98e-05,2.98e-05
